Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 49,522,309, val samples: 2,494,517
model: 1.81M params
step  10200 | lr 2.99e-04 | loss 0.9119 pol 0.8989 rf 0.0650 acc 70.1% | 14 it/s
step  10300 | lr 2.99e-04 | loss 0.9421 pol 0.9303 rf 0.0591 acc 69.2% | 14 it/s
step  10400 | lr 2.99e-04 | loss 0.9590 pol 0.9471 rf 0.0592 acc 68.6% | 14 it/s
step  10500 | lr 2.99e-04 | loss 0.9622 pol 0.9498 rf 0.0618 acc 68.2% | 14 it/s
step  10600 | lr 2.99e-04 | loss 0.9606 pol 0.9480 rf 0.0629 acc 68.1% | 14 it/s
step  10700 | lr 2.99e-04 | loss 0.9668 pol 0.9524 rf 0.0718 acc 68.1% | 14 it/s
step  10800 | lr 2.99e-04 | loss 0.9586 pol 0.9439 rf 0.0731 acc 68.5% | 14 it/s
step  10900 | lr 2.99e-04 | loss 0.9426 pol 0.9289 rf 0.0688 acc 68.4% | 14 it/s
step  11000 | lr 2.98e-04 | loss 0.9378 pol 0.9243 rf 0.0675 acc 68.5% | 14 it/s
step  11100 | lr 2.98e-04 | loss 0.9247 pol 0.9121 rf 0.0634 acc 69.4% | 14 it/s
step  11200 | lr 2.98e-04 | loss 0.9141 pol 0.9025 rf 0.0583 acc 69.8% | 14 it/s
step  11300 | lr 2.98e-04 | loss 0.9467 pol 0.9349 rf 0.0588 acc 68.7% | 14 it/s
step  11400 | lr 2.98e-04 | loss 0.9487 pol 0.9371 rf 0.0580 acc 68.5% | 14 it/s
step  11500 | lr 2.98e-04 | loss 0.9480 pol 0.9345 rf 0.0677 acc 68.1% | 14 it/s
step  11600 | lr 2.98e-04 | loss 0.9475 pol 0.9345 rf 0.0649 acc 68.2% | 14 it/s
step  11700 | lr 2.98e-04 | loss 0.9258 pol 0.9149 rf 0.0545 acc 69.0% | 14 it/s
step  11800 | lr 2.98e-04 | loss 0.9244 pol 0.9127 rf 0.0588 acc 69.1% | 14 it/s
step  11900 | lr 2.98e-04 | loss 0.9152 pol 0.9011 rf 0.0707 acc 69.9% | 14 it/s
step  12000 | lr 2.98e-04 | loss 0.9127 pol 0.8990 rf 0.0686 acc 70.1% | 14 it/s
[eval] step 12000 val_loss 0.9277 val_acc 69.9%
  -> saved best (0.9277)
step  12100 | lr 2.98e-04 | loss 0.9139 pol 0.9028 rf 0.0556 acc 69.4% | 14 it/s
step  12200 | lr 2.98e-04 | loss 0.9221 pol 0.9104 rf 0.0587 acc 69.3% | 14 it/s
step  12300 | lr 2.98e-04 | loss 0.9173 pol 0.9040 rf 0.0666 acc 69.7% | 14 it/s
step  12400 | lr 2.98e-04 | loss 0.9179 pol 0.9049 rf 0.0653 acc 69.6% | 14 it/s
step  12500 | lr 2.98e-04 | loss 0.9368 pol 0.9241 rf 0.0633 acc 68.4% | 14 it/s
step  12600 | lr 2.98e-04 | loss 0.9347 pol 0.9219 rf 0.0639 acc 68.3% | 14 it/s
step  12700 | lr 2.98e-04 | loss 0.9218 pol 0.9092 rf 0.0629 acc 69.0% | 14 it/s
step  12800 | lr 2.98e-04 | loss 0.9272 pol 0.9142 rf 0.0646 acc 69.2% | 14 it/s
step  12900 | lr 2.98e-04 | loss 0.9087 pol 0.8946 rf 0.0702 acc 70.1% | 14 it/s
step  13000 | lr 2.98e-04 | loss 0.9123 pol 0.8983 rf 0.0698 acc 69.8% | 14 it/s
step  13100 | lr 2.98e-04 | loss 0.9079 pol 0.8940 rf 0.0692 acc 69.9% | 14 it/s
step  13200 | lr 2.98e-04 | loss 0.9291 pol 0.9155 rf 0.0679 acc 69.7% | 14 it/s
step  13300 | lr 2.98e-04 | loss 0.9199 pol 0.9087 rf 0.0563 acc 69.4% | 14 it/s
step  13400 | lr 2.98e-04 | loss 0.9208 pol 0.9082 rf 0.0627 acc 69.5% | 14 it/s
step  13500 | lr 2.98e-04 | loss 0.9166 pol 0.9035 rf 0.0653 acc 69.8% | 14 it/s
step  13600 | lr 2.97e-04 | loss 0.9301 pol 0.9175 rf 0.0632 acc 69.1% | 14 it/s
step  13700 | lr 2.97e-04 | loss 0.9285 pol 0.9152 rf 0.0663 acc 68.7% | 14 it/s
step  13800 | lr 2.97e-04 | loss 0.9272 pol 0.9142 rf 0.0648 acc 68.6% | 14 it/s
step  13900 | lr 2.97e-04 | loss 0.9317 pol 0.9192 rf 0.0628 acc 68.4% | 14 it/s
step  14000 | lr 2.97e-04 | loss 0.9139 pol 0.9034 rf 0.0525 acc 70.1% | 14 it/s
[eval] step 14000 val_loss 0.9333 val_acc 70.0%
step  14100 | lr 2.97e-04 | loss 0.8997 pol 0.8906 rf 0.0456 acc 70.6% | 14 it/s
step  14200 | lr 2.97e-04 | loss 0.9463 pol 0.9324 rf 0.0692 acc 67.9% | 14 it/s
step  14300 | lr 2.97e-04 | loss 0.9495 pol 0.9356 rf 0.0696 acc 68.2% | 14 it/s
step  14400 | lr 2.97e-04 | loss 0.9248 pol 0.9130 rf 0.0594 acc 69.3% | 14 it/s
step  14500 | lr 2.97e-04 | loss 0.9294 pol 0.9175 rf 0.0594 acc 69.0% | 14 it/s
step  14600 | lr 2.97e-04 | loss 0.9300 pol 0.9172 rf 0.0642 acc 68.6% | 14 it/s
step  14700 | lr 2.97e-04 | loss 0.9426 pol 0.9289 rf 0.0684 acc 68.4% | 14 it/s
step  14800 | lr 2.97e-04 | loss 0.9364 pol 0.9239 rf 0.0625 acc 68.6% | 14 it/s
