Capped GPU memory fraction to 0.80
train shards: 251, val shards: 13
train samples: 35,609,201, val samples: 2,090,714  (filter num_players=6, suit_permute=True)
model: 1.81M params
step   7600 | lr 2.98e-04 | loss 1.1174 pol 1.1122 rf 0.0526 acc 68.6% | 13 it/s
step   7700 | lr 2.98e-04 | loss 1.1010 pol 1.0920 rf 0.0896 acc 70.7% | 13 it/s
step   7800 | lr 2.98e-04 | loss 1.1072 pol 1.1001 rf 0.0714 acc 70.3% | 13 it/s
step   7900 | lr 2.98e-04 | loss 1.1252 pol 1.1181 rf 0.0717 acc 69.2% | 13 it/s
step   8000 | lr 2.98e-04 | loss 1.1296 pol 1.1224 rf 0.0713 acc 68.3% | 13 it/s
[eval] step 8000 val_loss 1.1065 val_acc 70.7%
  -> saved best (1.1065)
step   8100 | lr 2.98e-04 | loss 1.1187 pol 1.1104 rf 0.0832 acc 69.0% | 13 it/s
step   8200 | lr 2.98e-04 | loss 1.1060 pol 1.0982 rf 0.0772 acc 69.1% | 13 it/s
step   8300 | lr 2.98e-04 | loss 1.1004 pol 1.0927 rf 0.0771 acc 70.0% | 13 it/s
step   8400 | lr 2.98e-04 | loss 1.1052 pol 1.0977 rf 0.0755 acc 69.9% | 13 it/s
step   8500 | lr 2.98e-04 | loss 1.1166 pol 1.1091 rf 0.0743 acc 69.2% | 13 it/s
step   8600 | lr 2.98e-04 | loss 1.1119 pol 1.1044 rf 0.0753 acc 68.8% | 13 it/s
step   8700 | lr 2.98e-04 | loss 1.1072 pol 1.1001 rf 0.0716 acc 69.6% | 13 it/s
step   8800 | lr 2.98e-04 | loss 1.1014 pol 1.0927 rf 0.0873 acc 70.3% | 13 it/s
step   8900 | lr 2.97e-04 | loss 1.0993 pol 1.0914 rf 0.0793 acc 70.1% | 13 it/s
step   9000 | lr 2.97e-04 | loss 1.1030 pol 1.0957 rf 0.0730 acc 69.9% | 13 it/s
step   9100 | lr 2.97e-04 | loss 1.0980 pol 1.0905 rf 0.0751 acc 69.7% | 13 it/s
step   9200 | lr 2.97e-04 | loss 1.1007 pol 1.0933 rf 0.0743 acc 69.5% | 13 it/s
step   9300 | lr 2.97e-04 | loss 1.0997 pol 1.0925 rf 0.0722 acc 69.3% | 13 it/s
step   9400 | lr 2.97e-04 | loss 1.0991 pol 1.0919 rf 0.0717 acc 69.2% | 13 it/s
step   9500 | lr 2.97e-04 | loss 1.0976 pol 1.0894 rf 0.0819 acc 70.0% | 13 it/s
step   9600 | lr 2.97e-04 | loss 1.0950 pol 1.0874 rf 0.0763 acc 70.0% | 13 it/s
step   9700 | lr 2.97e-04 | loss 1.1016 pol 1.0935 rf 0.0810 acc 69.6% | 13 it/s
step   9800 | lr 2.97e-04 | loss 1.0975 pol 1.0893 rf 0.0822 acc 70.0% | 13 it/s
